time [sec], angle [deg], angle velocity [deg/sec]
5.52003,-0.0875693,-1.29538,0.0247437
5.53003,-0.100253,-1.24112,0.02405
5.54003,-0.112385,-1.18497,0.0233113
5.55003,-0.123947,-1.12713,0.0225306
5.56003,-0.134923,-1.06777,0.0217109
5.57003,-0.145298,-1.00708,0.0208551
5.58003,-0.155061,-0.945252,0.0199664
5.59003,-0.1642,-0.882467,0.0190476
5.60003,-0.172707,-0.818907,0.0181018
5.61003,-0.180576,-0.754752,0.0171322
5.62003,-0.187801,-0.690179,0.0161417
5.63003,-0.194379,-0.625362,0.0151332
5.64003,-0.200308,-0.560472,0.0141099
5.65003,-0.205589,-0.495675,0.0130747
5.66003,-0.210222,-0.431135,0.0120305
5.67003,-0.214213,-0.36701,0.01098
5.68004,-0.217564,-0.303452,0.00992629
5.69004,-0.220284,-0.240611,0.00887196
5.70004,-0.22238,-0.17863,0.00781974
5.71004,-0.22386,-0.117645,0.00677227
5.72004,-0.224736,-0.0577899,0.0057321
5.73004,-0.22502,0.000810645,0.00470171
5.74004,-0.224725,0.0580366,0.00368348
5.75004,-0.223864,0.113775,0.00267973
5.76004,-0.222454,0.167918,0.00169267
5.77004,-0.220512,0.220365,0.000724419
5.78004,-0.218053,0.271024,-0.000222997
5.79004,-0.215097,0.319806,-0.00114765
5.80004,-0.211663,0.366632,-0.00204774
5.81004,-0.207771,0.411428,-0.00292152
5.82004,-0.203442,0.454129,-0.00376741
5.83004,-0.198696,0.494673,-0.00458391
5.84004,-0.193556,0.53301,-0.00536961
5.85004,-0.188043,0.569092,-0.00612325
5.86004,-0.182182,0.60288,-0.00684365
5.87004,-0.175994,0.634344,-0.00752977
5.88004,-0.169503,0.663456,-0.00818065
5.89004,-0.162732,0.690199,-0.00879548
5.90004,-0.155707,0.714558,-0.00937352
5.91004,-0.148449,0.736529,-0.00991417
5.92004,-0.140984,0.756111,-0.0104169
5.93004,-0.133335,0.773311,-0.0108814
5.94004,-0.125526,0.78814,-0.0113073
5.95004,-0.11758,0.800616,-0.0116945
5.96004,-0.109521,0.810763,-0.0120428
5.97004,-0.101372,0.818609,-0.0123524
5.98004,-0.0931565,0.824188,-0.0126232
5.99004,-0.084896,0.827539,-0.0128556
6.00004,-0.076613,0.828706,-0.0130498
6.01004,-0.068329,0.827737,-0.0132063
6.02004,-0.0600652,0.824685,-0.0133255
6.03004,-0.0518421,0.819605,-0.013408
6.04004,-0.0436796,0.812559,-0.0134545
6.05004,-0.0355972,0.80361,-0.0134656
6.06004,-0.0276135,0.792826,-0.0134422
6.07004,-0.0197466,0.780277,-0.0133852
6.08004,-0.0120136,0.766037,-0.0132954
6.09004,-0.00443122,0.750181,-0.0131739
6.10004,0.00298487,0.732787,-0.0130217
6.11004,0.0102197,0.713937,-0.01284
6.12005,0.017259,0.693711,-0.0126298
6.13005,0.0240896,0.672193,-0.0123924
6.14005,0.0306989,0.649469,-0.0121291
6.15005,0.0370752,0.625625,-0.011841
6.16005,0.0432079,0.600747,-0.0115296
6.17005,0.049087,0.574923,-0.0111961
6.18005,0.0547035,0.548241,-0.010842
6.19005,0.0600493,0.520789,-0.0104685
6.20005,0.065117,0.492654,-0.0100772
6.21005,0.0699004,0.463925,-0.00966936
6.22005,0.0743938,0.434689,-0.00924649
